provincia,provincia_poblacion,canton,canton_poblacion,total,acumuladas,lat,lng,semana
Manabí,1562079,Olmedo,10194,0,12,-1.396111000000000,-80.20611100000001,9
Manabí,1562079,Paján,37093,1,25,-1.570000000000000,-80.42000000000000,9
Manabí,1562079,Pedernales,63441,5,26,0.07010000000000001,-80.05360000000000,9
Manabí,1562079,Pichincha,29599,1,6,-1.047300000000000,-79.81860000000000,9
Manabí,1562079,Portoviejo,321800,29,342,-1.056181000000000,-80.45521700000000,9
Manabí,1562079,Puerto López,24688,2,7,-1.566667000000000,-80.81666700000000,9
Manabí,1562079,Rocafuerte,37312,2,19,-0.9200000000000000,-80.45999999999999,9
Manabí,1562079,San Vicente,24799,2,15,-0.5892999999999999,-80.40880000000000,9
Manabí,1562079,Santa Ana,48152,3,22,-1.206900000000000,-80.37090000000001,9
Manabí,1562079,Sucre,62443,3,35,-0.6000000000000000,-80.41666700000000,9
Manabí,1562079,Tosagua,42297,2,27,-0.7800000000000000,-80.26000000000001,9
Manabí,1562079,Veinticuatro de Mayo,28514,3,22,-1.278889000000000,-80.42000000000000,9
Morona Santiago,196535,Gualaquiza,19555,1,7,-3.380000000000000,-78.58000000000000,9
Morona Santiago,196535,Huamboya,12382,0,5,-1.785000000000000,-78.23194400000000,9
Morona Santiago,196535,Limón Indanza,10349,0,3,-2.966250000000000,-78.43052800000000,9
Morona Santiago,196535,Logroño,7643,0,1,-2.624800000000000,-78.18960000000000,9
Morona Santiago,196535,Morona,58281,0,37,-2.300000000000000,-78.11666700000001,9
Morona Santiago,196535,Pablo Sexto,2897,1,2,-1.803056000000000,-77.92111100000000,9
Morona Santiago,196535,Palora,7719,0,3,-1.700000000000000,-77.94000000000000,9
Morona Santiago,196535,San Juan Bosco,4985,0,0,-3.092300000000000,-78.51320000000000,9
Morona Santiago,196535,Santiago,11087,0,4,-3.429800000000000,-78.56560000000000,9
Morona Santiago,196535,Sucúa,23823,2,22,-2.460000000000000,-78.17000000000000,9
Morona Santiago,196535,Taisha,26773,1,11,-2.339950000000000,-77.45808000000000,9
Morona Santiago,196535,Tiwintza,11041,0,2,-2.917670000000000,-77.80170000000000,9
Napo,133705,Archidona,33068,3,16,-0.9166670000000000,-77.78333300000000,9
Napo,133705,Carlos Julio Arosemena Tola,4466,0,0,-1.166667000000000,-77.84999999999999,9
Napo,133705,El Chaco,10142,0,1,-0.3402780000000000,-77.80888899999999,9
Napo,133705,Quijos,6847,1,7,-0.4636110000000000,-77.89277800000001,9
Napo,133705,Tena,79182,7,43,-0.9890000000000000,-77.81590000000000,9
Orellana,161338,Aguarico,3629,0,1,-0.9211110000000000,-75.39916700000001,9
Orellana,161338,La Joya de los Sachas,39352,3,18,-0.3000000000000000,-76.84999999999999,9
Orellana,161338,Loreto,24579,2,15,-0.6904000000000000,-77.30830000000000,9
Orellana,161338,Orellana,93778,5,38,-0.4666670000000000,-76.96666700000000,9
Pastaza,114202,Arajuno,8128,0,4,-1.234370000000000,-77.68750000000000,9
Pastaza,114202,Mera,17547,1,4,-1.460000000000000,-78.09000000000000,9
Pastaza,114202,Pastaza,84377,9,59,-1.066667000000000,-78.00111099999999,9
Pastaza,114202,Santa Clara,4150,0,2,-1.267100000000000,-77.88820000000000,9
Pichincha,3228233,Cayambe,107660,3,43,0.04388900000000000,-78.15610000000000,9
Pichincha,3228233,Mejía,108167,8,58,-0.5101000000000000,-78.56980000000000,9
Pichincha,3228233,Pedro Moncayo,43281,2,12,0.04369700000000000,-78.34923999999999,9
Pichincha,3228233,Pedro Vicente Maldonado,17171,1,5,0.1666670000000000,-79,9
Pichincha,3228233,Puerto Quito,24911,0,14,0.1170000000000000,-79.26400000000000,9
Pichincha,3228233,Quito,2781641,248,2236,-0.2186110000000000,-78.50972200000000,9
Pichincha,3228233,Rumiñahui,115433,9,57,-0.3345000000000000,-78.44750000000001,9
Pichincha,3228233,San Miguel de Los Bancos,29969,0,6,0.02300000000000000,-78.89200000000000,9
Santa Elena,401178,La Libertad,117767,2,51,-2.233333000000000,-80.90000000000001,9
Santa Elena,401178,Salinas,94590,6,44,-2.216667000000000,-80.95000000000000,9
Santa Elena,401178,Santa Elena,188821,20,141,-2.226700000000000,-80.85830000000000,9
Sto. Domingo Tsáchilas,511151,La Concordia,52571,3,26,0.002300000000000000,-79.38460000000001,9
Sto. Domingo Tsáchilas,511151,Santo Domingo,458580,62,404,-0.2541670000000000,-79.17194400000000,9
Sucumbíos,230503,Cascales,15882,0,4,-0.06750000000000000,-77.21694400000000,9
Sucumbíos,230503,Cuyabeno,7154,1,3,-0.1288890000000000,-76.41388900000000,9
Sucumbíos,230503,Gonzalo Pizarro,10007,2,6,0.04700000000000000,-77.32280000000000,9
Sucumbíos,230503,Lago Agrio,119594,10,79,0.08472200000000002,-76.88277800000000,9
Sucumbíos,230503,Putumayo,16106,0,3,0.1000000000000000,-75.84999999999999,9
Sucumbíos,230503,Shushufindi,57949,1,18,-0.1871000000000000,-76.64500000000000,9
Sucumbíos,230503,Sucumbíos,3811,0,2,0.4592000000000000,-77.52300000000000,9
Tungurahua,590600,Ambato,387309,48,380,-1.241667000000000,-78.61972200000000,9
Tungurahua,590600,Baños,25043,0,13,-1.396389000000000,-78.42472200000000,9
Tungurahua,590600,Cevallos,9936,1,10,-1.350000000000000,-78.61666700000001,9
Tungurahua,590600,Mocha,7336,0,5,-1.416667000000000,-78.66666700000000,9
Tungurahua,590600,Patate,15825,1,11,-1.316667000000000,-78.51666700000000,9
Tungurahua,590600,Pelileo,66836,3,38,-1.327500000000000,-78.54083300000001,9
Tungurahua,590600,Píllaro,43371,2,28,-1.175833000000000,-78.55527800000000,9
Tungurahua,590600,Quero,20627,1,8,-1.379300000000000,-78.60700000000000,9
Tungurahua,590600,Tisaleo,14317,0,8,-1.350000000000000,-78.66666700000000,9
Zamora Chinchipe,120416,Centinela del Cóndor,8313,0,3,-3.894910000000000,-78.78140999999999,9
Zamora Chinchipe,120416,Chinchipe,10679,0,2,-4.862800000000000,-79.13280000000000,9
Zamora Chinchipe,120416,El Pangui,10945,0,5,-3.624900000000000,-78.58710000000001,9
Zamora Chinchipe,120416,Nangaritza,8014,0,1,-4.048333000000000,-78.68222200000000,9
Zamora Chinchipe,120416,Palanda,10144,0,4,-4.649800000000000,-79.13209999999999,9
Zamora Chinchipe,120416,Paquisha,5992,0,2,-3.932750000000000,-78.67426000000000,9
Zamora Chinchipe,120416,Yacuambi,7121,0,4,-3.634440000000000,-78.92810000000000,9
Zamora Chinchipe,120416,Yantzaza,26447,3,14,-3.850000000000000,-78.75000000000000,9
Zamora Chinchipe,120416,Zamora,32761,2,16,-4.120000000000000,-78.80000000000000,9
Azuay,881394,Camilo Ponce Enríquez,36423,1,13,-3.050000000000000,-79.73333300000000,10
Azuay,881394,Chordeleg,15176,0,8,-2.933333000000000,-78.76666700000000,10
Azuay,881394,Cuenca,636996,53,579,-2.897414000000000,-79.00448100000000,10
Azuay,881394,El Pan,3091,0,5,-2.786111000000000,-78.66500000000001,10
Azuay,881394,Girón,13037,5,18,-3.159028000000000,-79.14756800000001,10
Azuay,881394,Guachapala,3859,0,4,-2.769000000000000,-78.70900000000000,10
Azuay,881394,Gualaceo,49104,6,42,-2.900000000000000,-78.78333300000000,10
Azuay,881394,Nabón,17292,0,11,-3.336060000000000,-79.06368000000001,10
Azuay,881394,Oña,4128,0,7,-3.469640000000000,-79.15431000000000,10
Azuay,881394,Paute,29214,3,24,-2.781800000000000,-78.76000000000001,10
Azuay,881394,Pucará,10584,1,6,-3.233780000000000,-79.46120000000001,10
Azuay,881394,San Fernando,4156,1,3,-3.144500000000000,-79.25200000000000,10
Azuay,881394,Santa Isabel,20935,0,18,-3.274170000000000,-79.31560000000000,10
Azuay,881394,Sevilla de Oro,6890,0,4,-2.799833000000000,-78.65569400000000,10
Azuay,881394,Sígsig,30509,6,34,-3.089700000000000,-78.80320000000000,10
Bolívar,209933,Caluma,16429,0,9,-1.633330000000000,-79.25000000000000,10
Bolívar,209933,Chillanes,16850,2,21,-1.933333000000000,-79.06666700000000,10
Bolívar,209933,Chimbo,17378,0,12,-1.700000000000000,-79.01666700000000,10
Bolívar,209933,Echeandía,14081,1,9,-1.433330000000000,-79.26667000000000,10
Bolívar,209933,Guaranda,108763,7,85,-1.605556000000000,-79.00305600000000,10
Bolívar,209933,Las Naves,7428,0,2,-1.283330000000000,-79.30000000000000,10
Bolívar,209933,San Miguel,29004,3,27,-1.700000000000000,-79.03333300000000,10
Carchi,186869,Bolivar,15528,0,4,0.5070990000000000,-77.86245400000000,10
Carchi,186869,Espejo,13817,2,10,0.6210000000000000,-77.94000000000000,10
Carchi,186869,Mira,11969,1,12,0.5538999999999998,-78.04930000000000,10
Carchi,186869,Montúfar,34229,4,26,0.6100000000000000,-77.84000000000000,10
Carchi,186869,San Pedro de Huaca,8931,0,1,0.6311110000000000,-77.72527800000000,10
Carchi,186869,Tulcán,102395,12,82,0.8121800000000000,-77.71633000000000,10
Cañar,281396,Azogues,86276,4,92,-2.733333000000000,-78.83333300000000,10
Cañar,281396,Biblían,23741,0,16,-2.710000000000000,-78.88000000000000,10
Cañar,281396,Cañar,68747,3,42,-2.483700000000000,-78.97839999999999,10
Cañar,281396,Déleg,6782,1,4,-2.772600000000000,-78.91830000000000,10
Cañar,281396,El Tambo,12462,1,6,-2.508100000000000,-78.92489999999999,10
Cañar,281396,La Troncal,76872,4,41,-2.400000000000000,-79.33000000000000,10
Cañar,281396,Suscal,6516,0,2,-2.436400000000000,-79.05220000000000,10
Chimborazo,524004,Alausí,45054,6,25,-2.200000000000000,-78.84999999999999,10
Chimborazo,524004,Chambo,13378,4,11,-1.733333000000000,-78.58333300000000,10
Chimborazo,524004,Chunchi,12795,1,10,-2.283333000000000,-78.91666700000000,10
Chimborazo,524004,Colta,44838,4,34,-1.700000000000000,-78.75000000000000,10
Chimborazo,524004,Cumandá,17973,3,11,-2.200000000000000,-79.13333299999999,10
Chimborazo,524004,Guamote,58291,4,30,-1.933333000000000,-78.71666700000000,10
Chimborazo,524004,Guano,48395,0,31,-1.583333000000000,-78.63333299999999,10
Chimborazo,524004,Pallatanga,12277,0,9,-1.983333000000000,-78.95000000000000,10
Chimborazo,524004,Penipe,6955,1,4,-1.557300000000000,-78.53959999999999,10
Chimborazo,524004,Riobamba,264048,32,304,-1.674347000000000,-78.64829400000001,10
Cotopaxi,488716,La Maná,56905,3,30,-0.9300000000000000,-79.22000000000000,10
Cotopaxi,488716,Latacunga,205624,19,188,-0.9333330000000000,-78.61666700000001,10
Cotopaxi,488716,Pangua,24612,0,10,-1.133333000000000,-79.06666700000000,10
Cotopaxi,488716,Pujilí,79772,6,49,-0.9500000000000000,-78.69000000000000,10
Cotopaxi,488716,Salcedo,67100,5,35,-1.050000000000000,-78.58333300000000,10
Cotopaxi,488716,Saquisilí,31426,0,15,-0.8300000000000000,-78.67000000000000,10
Cotopaxi,488716,Sigchos,23277,1,19,-0.7000000000000000,-78.88333299999999,10
El Oro,715751,Arenillas,33473,1,21,-3.550000000000000,-80.06000000000000,10
El Oro,715751,Atahualpa,6436,0,2,-2.900000000000000,-78.93333300000000,10
El Oro,715751,Balsas,9233,1,4,-3.762600000000000,-79.82530000000000,10
El Oro,715751,Chilla,2379,1,3,-3.450000000000000,-79.58000000000000,10
El Oro,715751,El Guabo,63645,2,33,-3.238800000000000,-79.82920000000000,10
El Oro,715751,Huaquillas,60440,2,33,-3.481380000000000,-80.24320700000000,10
El Oro,715751,Las Lajas,4963,0,2,-3.785000000000000,-80.06166700000000,10
El Oro,715751,Machala,289141,35,326,-3.266667000000000,-79.96666700000000,10
El Oro,715751,Marcabelí,6259,0,3,-3.786000000000001,-79.89780000000000,10
El Oro,715751,Pasaje,87723,8,59,-3.326900000000000,-79.80490000000000,10
El Oro,715751,Piñas,30206,3,41,-3.666667000000000,-79.65000000000001,10
El Oro,715751,Portovelo,14028,1,13,-3.720000000000000,-79.62000000000000,10
El Oro,715751,Santa Rosa,82171,8,55,-3.452222000000000,-79.96166700000001,10
El Oro,715751,Zaruma,25654,3,19,-3.433333000000000,-79.59999999999999,10
Esmeraldas,591083,Atacames,55495,1,21,0.8666670000000000,-79.83333300000000,10
Esmeraldas,591083,Eloy Alfaro,45629,2,13,1.250000000000000,-79,10
Esmeraldas,591083,Esmeraldas,218727,14,188,1.050000000000000,-79.20000000000000,10
Esmeraldas,591083,Muisne,31106,2,10,0.6067000000000000,-80.01830000000000,10
Esmeraldas,591083,Quinindé,145879,5,58,0.3300000000000000,-79.48000000000000,10
Esmeraldas,591083,Rioverde,31475,1,12,1.060200000000000,-79.40440000000000,10
Esmeraldas,591083,San Lorenzo,62772,0,19,1.265800000000000,-78.84139999999999,10
Galápagos,33042,Isabela,3073,0,0,-0.4724000000000000,-90.68110000000000,10
Galápagos,33042,San Cristóbal,9667,0,7,-0.7999999999999999,-89.40000000000001,10
Galápagos,33042,Santa Cruz,20302,0,2,-0.6333330000000000,-90.36666700000001,10
Guayas,4387434,Alfredo Baquerizo Moreno,32110,1,13,-1.916667000000000,-79.51666700000000,10
Guayas,4387434,Balao,26348,1,14,-2.910000000000000,-79.81000000000000,10
Guayas,4387434,Balzar,60260,8,47,-1.360000000000000,-79.90000000000001,10
Guayas,4387434,Colimes,26169,3,14,-1.550000000000000,-80.01666700000000,10
Guayas,4387434,Coronel Marcelino Maridueña,13132,1,4,-2.200000000000000,-79.42000000000000,10
Guayas,4387434,Daule,173684,14,126,-1.866667000000000,-79.98333300000000,10
Guayas,4387434,Durán,315724,14,112,-2.166667000000000,-79.83333300000000,10
Guayas,4387434,El Triunfo,59636,2,35,-2.330000000000000,-79.40000000000001,10
Guayas,4387434,Empalme,86073,14,59,-1.046111000000000,-79.63361100000000,10
Guayas,4387434,General Antonio Elizalde,13156,1,8,-2.200000000000000,-79.17000000000000,10
Guayas,4387434,Guayaquil,2723665,332,3226,-2.183333000000000,-79.88333299999999,10
Guayas,4387434,Isidro Ayora,14582,1,14,-1.883333000000000,-80.16666700000000,10
Guayas,4387434,Lomas de Sargentillo,24220,0,13,-1.883333000000000,-80.08333300000000,10
Guayas,4387434,Milagro,199835,30,217,-2.126944000000000,-79.59916699999999,10
Guayas,4387434,Naranjal,95052,5,63,-2.672800000000000,-79.61499999999999,10
Guayas,4387434,Naranjito,43862,3,32,-2.173000000000000,-79.46710000000000,10
Guayas,4387434,Nobol,26444,1,12,-1.916671000000000,-80.01153900000000,10
Guayas,4387434,Palestina,18451,0,14,-1.626300000000000,-79.97700000000000,10
Guayas,4387434,Pedro Carbo,51802,6,31,-1.833333000000000,-80.23333300000000,10
Guayas,4387434,Playas,59628,2,37,-2.623330000000000,-80.38750000000000,10
Guayas,4387434,Salitre,65765,4,48,-1.829444000000000,-79.81555600000000,10
Guayas,4387434,Samborondón,102404,1,53,-2.183333000000000,-79.88333299999999,10
Guayas,4387434,San Jacinto De Yaguachi,78204,4,27,-2.120000000000000,-79.69000000000000,10
Guayas,4387434,Santa Lucía,45004,7,39,-1.713889000000000,-79.98500000000000,10
Guayas,4387434,Simón Bolivar,32224,1,10,-2.156667000000000,-79.88750000000000,10
Imbabura,476257,Antonio Ante,54311,2,22,0.3200000000000000,-78.20999999999999,10
Imbabura,476257,Cotacachi,44203,0,30,0.3000000000000000,-78.26666700000000,10
Imbabura,476257,Ibarra,221149,16,216,0.3626780000000000,-78.13066700000000,10
Imbabura,476257,Otavalo,125785,6,87,0.2333330000000000,-78.26666700000000,10
Imbabura,476257,Pimampiro,13269,2,12,0.4000000000000000,-77.97000000000000,10
Imbabura,476257,San Miguel de Urcuquí,17540,0,7,0.5200000000000000,-78.20000000000000,10
Loja,521154,Calvas,29565,5,30,-4.320000000000000,-79.56000000000000,10
Loja,521154,Catamayo,35961,1,13,-3.980000000000000,-79.34999999999999,10
Loja,521154,Celica,16160,0,5,-4.102500000000000,-79.95444400000000,10
Loja,521154,Chaguarpamba,6620,0,9,-3.850000000000000,-79.65000000000001,10
Loja,521154,Espíndola,14209,1,13,-4.583056000000000,-79.42694400000001,10
Loja,521154,Gonzanamá,10953,1,7,-4.231389000000000,-79.43527800000000,10
Loja,521154,Loja,274112,32,272,-3.983333000000001,-79.20000000000000,10
Loja,521154,Macará,20269,1,11,-4.383333000000000,-79.95000000000000,10
Loja,521154,Olmedo,4220,0,2,-3.934000000000000,-79.64800000000000,10
Loja,521154,Paltas,23471,2,23,-4.050000000000002,-79.65000000000001,10
Loja,521154,Pindal,10540,0,6,-4.116100000000000,-80.10760000000001,10
Loja,521154,Puyango,15925,1,14,-3.870000000000000,-80.09000000000000,10
Loja,521154,Quilanga,4197,1,5,-4.298000000000000,-79.39860000000000,10
Loja,521154,Saraguro,33506,1,23,-3.625300000000000,-79.24110000000000,10
Loja,521154,Sozoranga,7121,0,1,-4.327778000000000,-79.78972200000000,10
Loja,521154,Zapotillo,14325,0,7,-4.386360000000002,-80.24360000000000,10
Los Ríos,921763,Baba,43429,1,23,-1.784167000000000,-79.67666699999999,10
Los Ríos,921763,Babahoyo,175281,13,180,-1.800000000000000,-79.53333300000000,10
Los Ríos,921763,Buena Fe,83654,4,37,-0.8985719999999999,-79.48891600000000,10
Los Ríos,921763,Mocache,43316,4,26,-1.183850000000000,-79.50552999999999,10
Los Ríos,921763,Montalvo,28720,2,16,-1.793800000000000,-79.28570000000001,10
Los Ríos,921763,Palenque,23638,2,12,-1.432800000000000,-79.74950000000000,10
Los Ríos,921763,Puebloviejo,44725,5,37,-1.550000000000000,-79.53388900000000,10
Los Ríos,921763,Quevedo,213842,25,181,-1.033333000000000,-79.45000000000000,10
Los Ríos,921763,Quinsaloma,20428,1,8,-1.206200000000000,-79.31450000000000,10
Los Ríos,921763,Urdaneta,32618,3,21,-1.570556000000000,-79.47111099999999,10
Los Ríos,921763,Valencia,54637,1,16,-0.9525000000000000,-79.35310000000000,10
Los Ríos,921763,Ventanas,75146,2,47,-1.450000000000000,-79.47000000000000,10
Los Ríos,921763,Vinces,82329,5,63,-1.558333000000000,-79.75000000000000,10
Manabí,1562079,Bolívar,45493,4,41,-0.8419440000000000,-80.16194400000001,10
Manabí,1562079,Chone,131002,13,101,-0.6833330000000000,-80.09999999999999,10
Manabí,1562079,El Carmen,111344,7,70,-1.314700000000000,-80.01690000000001,10
Manabí,1562079,Flavio Alfaro,23822,1,22,-0.4054000000000000,-79.90580000000000,10
Manabí,1562079,Jama,26116,1,7,-0.2014000000000000,-80.26590000000000,10
Manabí,1562079,Jaramijó,28439,2,11,-0.9487300000000000,-80.63630000000001,10
Manabí,1562079,Jipijapa,74645,6,57,-1.333330000000000,-80.58329999999999,10
Manabí,1562079,Junín,18820,1,15,-0.9291600000000000,-80.20569000000000,10
Manabí,1562079,Manta,264281,23,334,-0.9500220000000000,-80.71620000000000,10
Manabí,1562079,Montecristi,107785,0,38,-1.033330000000000,-80.65000000000001,10
Manabí,1562079,Olmedo,10194,0,12,-1.396111000000000,-80.20611100000001,10
Manabí,1562079,Paján,37093,3,28,-1.570000000000000,-80.42000000000000,10
Manabí,1562079,Pedernales,63441,4,30,0.07010000000000001,-80.05360000000000,10
Manabí,1562079,Pichincha,29599,1,7,-1.047300000000000,-79.81860000000000,10
Manabí,1562079,Portoviejo,321800,34,376,-1.056181000000000,-80.45521700000000,10
Manabí,1562079,Puerto López,24688,0,7,-1.566667000000000,-80.81666700000000,10
Manabí,1562079,Rocafuerte,37312,3,22,-0.9200000000000000,-80.45999999999999,10
Manabí,1562079,San Vicente,24799,2,17,-0.5892999999999999,-80.40880000000000,10
Manabí,1562079,Santa Ana,48152,1,23,-1.206900000000000,-80.37090000000001,10
Manabí,1562079,Sucre,62443,5,40,-0.6000000000000000,-80.41666700000000,10
Manabí,1562079,Tosagua,42297,2,29,-0.7800000000000000,-80.26000000000001,10
Manabí,1562079,Veinticuatro de Mayo,28514,1,23,-1.278889000000000,-80.42000000000000,10
Morona Santiago,196535,Gualaquiza,19555,3,10,-3.380000000000000,-78.58000000000000,10
Morona Santiago,196535,Huamboya,12382,2,7,-1.785000000000000,-78.23194400000000,10
Morona Santiago,196535,Limón Indanza,10349,0,3,-2.966250000000000,-78.43052800000000,10
Morona Santiago,196535,Logroño,7643,0,1,-2.624800000000000,-78.18960000000000,10
Morona Santiago,196535,Morona,58281,4,41,-2.300000000000000,-78.11666700000001,10
Morona Santiago,196535,Pablo Sexto,2897,0,2,-1.803056000000000,-77.92111100000000,10
Morona Santiago,196535,Palora,7719,2,5,-1.700000000000000,-77.94000000000000,10
Morona Santiago,196535,San Juan Bosco,4985,0,0,-3.092300000000000,-78.51320000000000,10
Morona Santiago,196535,Santiago,11087,1,5,-3.429800000000000,-78.56560000000000,10
Morona Santiago,196535,Sucúa,23823,3,25,-2.460000000000000,-78.17000000000000,10
Morona Santiago,196535,Taisha,26773,0,11,-2.339950000000000,-77.45808000000000,10
Morona Santiago,196535,Tiwintza,11041,0,2,-2.917670000000000,-77.80170000000000,10
Napo,133705,Archidona,33068,0,16,-0.9166670000000000,-77.78333300000000,10
Napo,133705,Carlos Julio Arosemena Tola,4466,0,0,-1.166667000000000,-77.84999999999999,10
Napo,133705,El Chaco,10142,0,1,-0.3402780000000000,-77.80888899999999,10
Napo,133705,Quijos,6847,0,7,-0.4636110000000000,-77.89277800000001,10
Napo,133705,Tena,79182,1,44,-0.9890000000000000,-77.81590000000000,10
Orellana,161338,Aguarico,3629,1,2,-0.9211110000000000,-75.39916700000001,10
Orellana,161338,La Joya de los Sachas,39352,3,21,-0.3000000000000000,-76.84999999999999,10
Orellana,161338,Loreto,24579,0,15,-0.6904000000000000,-77.30830000000000,10
Orellana,161338,Orellana,93778,6,44,-0.4666670000000000,-76.96666700000000,10
Pastaza,114202,Arajuno,8128,0,4,-1.234370000000000,-77.68750000000000,10
Pastaza,114202,Mera,17547,1,5,-1.460000000000000,-78.09000000000000,10
